Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
1,1,2,8,53,96,228,0.1539094,11344,32,162709.06,1
0,0,0,1,1,1,5,4.2482526,6232,39,128184,0
0,0,0,2,2,2,30,2.1118276,3287,35,123131,0
0,0,0,0,0,1,2,8.5702975,7492,41,87300,0
0,0,0,2,2,2,13,3.7615095,11311,34,124159,0
0,0,0,0,0,1,3,8.8887569,9450,38,96353.24,0
0,0,0,0,1,1,9,6,11258,38,116987,0
0,0,0,0,0,0,5,12.20829,35035,40,108496.35,0
0,0,0,0,0,1,9,9.9035347,32393,30,142538.14,0
0,0,0,0,0,0,3,10.9304953,7394,38,87500,0
0,0,0,0,1,2,4,5.2009614,13117,41,90426.02,0
0,0,0,0,0,3,16,8.0262071,17516,34,126162.82,0
0,0,0,0,0,3,12,8.3024093,12360,42,95556,0
0,0,0,1,1,1,4,2.9068884,12356,37,101759,0
0,0,1,2,3,5,8,1.7888544,20434,39,126866,0
0,0,0,5,8,8,13,3.0951737,8283,36,117590.58,0
0,0,0,0,0,1,12,8.1494413,17516,34,126162.82,0
0,0,0,0,0,1,4,8.0454956,8779,39,102729.61,0
0,0,0,0,0,1,4,7.4742454,35035,40,108496.35,0
0,0,0,0,0,1,11,9.3621579,12360,42,95556,0
0,0,0,0,0,0,3,17.2185946,5023,39,111509.65,0
0,0,0,0,0,1,6,8.6844532,7394,38,87500,0
0,0,2,3,4,9,72,1.0475198,32393,30,142538.14,1
1,1,6,53,74,116,243,0.0359026,36981,31,164856,1
0,0,0,0,0,0,1,17.7867929,16871,35,144796,0
0,0,0,0,0,1,5,9.8732168,3549,42,90300,0
0,0,0,2,2,11,20,4.3398554,12210,31,131646.75,0
0,0,1,6,28,61,235,1.2222766,34221,28,182927.31,1
0,0,0,0,0,1,7,8.1608823,12346,41,117432,0
0,0,0,0,0,1,8,7.4242845,15069,44,100927.19,0
0,0,6,34,78,140,244,1.2035169,36981,31,164856,1
0,0,0,0,2,2,4,6.5110406,6232,39,128184,0
0,0,2,4,7,8,85,1.4378793,32393,30,142538.14,1
0,0,0,1,1,2,5,4.6840154,8924,42,125739.63,0
0,0,0,4,8,15,163,3.1000324,32144,30,169577.18,0
0,0,0,0,0,1,6,9.047099,8779,39,102729.61,0
0,0,0,0,0,1,5,8.0280757,8779,39,102729.61,0
0,0,0,1,1,2,11,4.7413078,32393,30,142538.14,0
0,0,0,0,3,12,25,5.6084173,12210,31,131646.75,0
0,0,0,0,0,1,3,9.9035347,6513,35,102979.26,0
0,0,0,1,1,2,4,3.8832976,9546,34,147858.21,0
0,0,0,0,1,1,3,5.7913494,7394,38,87500,0
0,0,0,1,1,4,14,2.6305893,12346,41,117432,0
0,0,0,0,1,1,5,6.946222,12356,37,101759,0
1,3,6,34,48,123,216,0,34221,28,182927.31,1
0,0,0,0,0,5,7,7.0007142,8924,42,125739.63,0
0,0,0,0,1,2,7,5.0477718,5023,39,111509.65,0
0,0,0,0,0,0,3,11.119393,7769,42,106839.01,0
0,0,0,1,1,1,12,4.6957428,12360,42,95556,0
0,0,0,1,4,6,20,3.5,12210,31,131646.75,0
0,1,3,3,3,4,8,0.8362254,16734,38,150821.66,0
0,0,0,1,2,6,11,4.4407207,11311,34,124159,0
0,0,0,0,0,0,41,10.8804709,32393,30,142538.14,0
0,0,0,17,21,26,107,3.4277843,6232,39,128184,0
1,1,1,2,3,5,14,0.123,20434,39,126866,1
0,0,0,0,3,7,64,5.9461831,6232,39,128184,0
0,0,0,0,0,1,6,9.7082439,12360,42,95556,0
0,0,0,0,2,2,2,5.3740115,6513,35,102979.26,0
2,2,2,8,49,83,222,0.061327,18614,30,169443.96,1
0,0,0,0,0,1,4,9.9984999,5023,39,111509.65,0
0,0,0,0,0,3,4,7.6033314,17870,41,143598.91,0
0,0,0,1,1,1,16,4.5650849,6191,37,123540,0
